t_in,px_in,rsi_in,t_out,px_out,pnl,reason,rsi_out
2025-07-31 17:06:00+02:00,6423.25,43.984450279819676,2025-07-31 17:21:00+02:00,6413.25,10.0,TP,29.54995159145797
2025-08-04 17:51:00+02:00,6344.75,42.43990446570502,2025-08-04 19:15:00+02:00,6352.25,-7.5,SL,69.50612630766521
2025-08-05 16:51:00+02:00,6328.0,54.99240737189087,2025-08-05 16:54:00+02:00,6335.5,-7.5,SL,53.392097263782524
2025-08-05 18:21:00+02:00,6334.0,36.18126265796685,2025-08-05 18:54:00+02:00,6324.0,10.0,TP,32.10682739119059
2025-08-05 19:39:00+02:00,6331.25,44.55800522494016,2025-08-05 20:33:00+02:00,6321.25,10.0,TP,38.694999411670295
2025-08-06 17:18:00+02:00,6365.75,50.66247215833507,2025-08-06 18:06:00+02:00,6373.25,-7.5,SL,63.92752895139516
2025-08-06 19:57:00+02:00,6370.0,42.39587572422046,2025-08-07 14:30:00+02:00,6377.5,-7.5,SL,63.36588976827322
2025-08-08 17:09:00+02:00,6406.0,49.13839491141261,2025-08-08 17:42:00+02:00,6413.5,-7.5,SL,63.29636621537903
2025-08-08 19:09:00+02:00,6413.5,48.24271161551289,2025-08-08 19:48:00+02:00,6403.5,10.0,TP,30.431157164177336
2025-08-13 20:48:00+02:00,6484.75,53.02320249690679,2025-08-13 22:00:00+02:00,6483.25,1.5,EOD,40.46290484527235
