20250602 002500;5902.75;5903;5902.25;5903;120
20250602 002600;5903;5903.5;5902.75;5903.25;104
20250602 002700;5903.25;5903.5;5902.25;5903;159
20250602 002800;5903;5903;5900.5;5901.5;218
20250602 002900;5901.5;5901.5;5900;5900.75;217
20250602 003000;5900.75;5900.75;5900;5900;330
20250602 003100;5900.5;5900.5;5897.75;5898.5;453
20250602 003200;5898.75;5898.75;5897.25;5897.5;239
20250602 003300;5898;5899.75;5897.75;5899.5;157
20250602 003400;5899.25;5900.5;5898.75;5899;178
20250602 003500;5899;5899.75;5898.5;5898.5;67
20250602 003600;5898.75;5898.75;5898;5898.25;110
20250602 003700;5898.25;5900;5898.25;5899.5;154
20250602 003800;5899.75;5900;5899.5;5899.5;130
20250602 003900;5899.5;5899.5;5898.75;5898.75;74
20250602 004000;5898.75;5899;5897.5;5898.75;250
20250602 004100;5899;5899.5;5898.25;5899;73
20250602 004200;5899;5900.5;5898.5;5900.25;216
20250602 004300;5900;5901.75;5900;5900.25;279
20250602 004400;5900.25;5900.5;5899;5900.25;133
20250602 004500;5900;5900.5;5899.75;5900.5;117
20250602 004600;5900.5;5901.75;5900.25;5901.75;155
20250602 004700;5902;5902;5900.5;5901.25;195
20250602 004800;5901.25;5901.75;5900.5;5901;113
20250602 004900;5901.25;5902.5;5901;5901;222
20250602 005000;5900.75;5900.75;5897.5;5897.75;483
20250602 005100;5897.5;5899.25;5896.75;5898.25;479
20250602 005200;5898.5;5898.75;5898.25;5898.75;90
20250602 005300;5899;5899;5897.75;5898.25;207
20250602 005400;5898.5;5900.25;5897.75;5899.25;197
20250602 005500;5899.5;5899.5;5898;5898;78
20250602 005600;5898.25;5899;5898;5898.5;116
20250602 005700;5898.75;5898.75;5897.5;5898.25;190
20250602 005800;5898.5;5898.75;5898;5898.5;37
20250602 005900;5898.25;5898.5;5897.75;5898.5;43
20250602 010000;5898.5;5900.25;5898.25;5899.75;118
20250602 010100;5900;5900.75;5899.5;5900.75;132
20250602 010200;5901;5901;5899.5;5900.25;169
20250602 010300;5900.25;5900.5;5898.75;5899.75;141
20250602 010400;5899.5;5902;5899.25;5901.25;304
20250602 010500;5901.25;5901.5;5900.75;5901.25;108
20250602 010600;5901.25;5901.25;5900.25;5901;67
20250602 010700;5900.75;5902.5;5900.75;5902;199
20250602 010800;5902.25;5903.25;5902.25;5902.75;177
20250602 010900;5903;5903.25;5902.5;5903;116
20250602 011000;5903;5903.25;5901.75;5902.25;89
20250602 011100;5902;5902.75;5902;5902.25;118
20250602 011200;5902.25;5902.25;5901.25;5902;143
20250602 011300;5902;5902.75;5902;5902.5;60
20250602 011400;5902.75;5902.75;5902;5902.25;89
20250602 011500;5902.25;5903;5902;5902.75;44
20250602 011600;5902.75;5903.25;5901.75;5902;139
20250602 011700;5902;5903;5901.5;5903;88
20250602 011800;5903;5903.25;5902.75;5902.75;65
20250602 011900;5902.75;5903;5902;5902.5;115
20250602 012000;5902.5;5902.75;5902;5902.25;51
20250602 012100;5902.25;5902.5;5901;5901.5;114
20250602 012200;5901.5;5903.25;5901;5903;124
20250602 012300;5903;5903.75;5903;5903.5;73
20250602 012400;5903.75;5903.75;5903.25;5903.5;129
20250602 012500;5903.5;5904.25;5903.25;5904;150
20250602 012600;5903.75;5904;5903;5903;169
20250602 012700;5902.75;5902.75;5902.25;5902.75;92
20250602 012800;5902.5;5902.75;5902.25;5902.25;100
20250602 012900;5902;5902;5900.25;5900.75;283
20250602 013000;5900.75;5900.75;5900;5900.25;111
20250602 013100;5900.5;5900.75;5898.75;5899;278
20250602 013200;5899;5900;5898.5;5899.75;183
20250602 013300;5899.75;5900;5898.25;5899.25;184
20250602 013400;5899;5899.5;5898.75;5898.75;107
