DateTime,Open,High,Low,Close,Volume
2025-06-16 00:33:00,6036.5,6041.75,6034.75,6041.25,842
2025-06-16 00:36:00,6041.0,6041.25,6037.75,6038.75,328
2025-06-16 00:39:00,6038.5,6039.75,6037.75,6039.75,228
2025-06-16 00:42:00,6039.5,6041.25,6039.25,6040.5,389
2025-06-16 00:45:00,6040.5,6042.0,6040.5,6041.25,182
2025-06-16 00:48:00,6041.0,6041.25,6038.0,6038.0,169
2025-06-16 00:51:00,6038.25,6041.0,6038.0,6038.75,339
2025-06-16 00:54:00,6038.75,6040.5,6038.5,6040.25,244
2025-06-16 00:57:00,6040.0,6042.0,6039.75,6041.0,342
2025-06-16 01:00:00,6041.0,6042.5,6040.75,6041.75,441
2025-06-16 01:03:00,6041.75,6042.25,6040.75,6042.0,238
2025-06-16 01:06:00,6041.75,6043.0,6039.75,6040.75,452
2025-06-16 01:09:00,6041.0,6042.5,6038.5,6042.25,421
2025-06-16 01:12:00,6042.25,6042.75,6041.0,6041.25,232
2025-06-16 01:15:00,6041.0,6041.0,6039.25,6040.25,313
2025-06-16 01:18:00,6040.5,6040.75,6039.0,6039.5,348
2025-06-16 01:21:00,6039.5,6040.5,6036.5,6040.5,434
2025-06-16 01:24:00,6040.5,6040.5,6037.75,6038.25,191
2025-06-16 01:27:00,6038.25,6038.5,6037.0,6038.25,265
2025-06-16 01:30:00,6038.25,6039.5,6037.25,6039.0,224
2025-06-16 01:33:00,6039.25,6041.75,6039.0,6040.25,338
2025-06-16 01:36:00,6040.5,6041.0,6039.75,6040.5,88
2025-06-16 01:39:00,6040.5,6040.75,6039.5,6040.0,168
2025-06-16 01:42:00,6040.0,6040.5,6039.75,6040.25,113
2025-06-16 01:45:00,6040.75,6040.75,6039.75,6040.25,121
2025-06-16 01:48:00,6040.0,6040.5,6039.5,6039.75,80
2025-06-16 01:51:00,6040.0,6040.75,6039.25,6040.5,144
2025-06-16 01:54:00,6040.5,6042.25,6039.5,6042.25,252
2025-06-16 01:57:00,6042.0,6042.25,6040.5,6041.25,213
2025-06-16 02:00:00,6041.0,6041.25,6039.25,6040.0,305
2025-06-16 02:03:00,6040.0,6041.0,6039.5,6039.5,152
2025-06-16 02:06:00,6039.5,6040.75,6038.25,6039.75,176
2025-06-16 02:09:00,6039.75,6042.25,6039.75,6040.75,228
2025-06-16 02:12:00,6040.75,6041.5,6040.0,6041.5,168
2025-06-16 02:15:00,6041.5,6045.75,6041.25,6045.25,973
2025-06-16 02:18:00,6045.25,6047.25,6045.0,6045.75,656
2025-06-16 02:21:00,6045.5,6045.75,6043.75,6044.75,388
2025-06-16 02:24:00,6044.5,6045.25,6043.5,6044.0,223
2025-06-16 02:27:00,6043.75,6044.5,6042.75,6043.75,354
2025-06-16 02:30:00,6043.5,6044.0,6042.5,6043.75,215
2025-06-16 02:33:00,6043.75,6044.0,6043.0,6043.5,107
2025-06-16 02:36:00,6043.75,6044.75,6043.75,6044.5,255
2025-06-16 02:39:00,6044.75,6044.75,6043.25,6044.0,106
2025-06-16 02:42:00,6044.0,6044.75,6043.75,6044.5,73
2025-06-16 02:45:00,6044.5,6045.0,6044.25,6044.25,93
2025-06-16 02:48:00,6044.25,6044.5,6043.75,6044.25,111
2025-06-16 02:51:00,6044.25,6045.0,6043.25,6043.25,182
2025-06-16 02:54:00,6043.0,6043.25,6042.5,6043.25,159
2025-06-16 02:57:00,6043.25,6044.0,6043.25,6043.25,97
2025-06-16 03:00:00,6043.5,6043.75,6042.5,6043.0,86
2025-06-16 03:03:00,6043.0,6044.25,6043.0,6043.25,98
2025-06-16 03:06:00,6043.0,6043.5,6042.75,6043.5,144
2025-06-16 03:09:00,6043.5,6043.75,6042.75,6043.25,55
2025-06-16 03:12:00,6043.0,6043.25,6043.0,6043.0,89
2025-06-16 03:15:00,6043.25,6043.75,6043.0,6043.0,114
